name,shorthand,credits,year,media_path,visible,category,blurb,tags,media_aspect,link_feature,link
Shitfly,shitfly,"Studio, Pretend VFX[https://pretendvfx.com/];
Director, Julian Park;",6/1/2025,,FALSE,VFX,Animated and comped a CG fly into a dozen or so shots.,"cg animation, cg comp",h,FALSE,
Under the Lights,under the lights,"Director, Miles Levin;
VFX, Phosphene FX;
ADD'L VFX, Greg Joblove;",4/28/2025,,FALSE,VFX,"Created a CG brain shot using geometry generated in Houdini, rendered in Blender, and comped in Nuke.","cg neurons, cg comp, animation",v,FALSE,
Stay - BANKS,stay,"Studio,Corduroy[https://corduroy.studio/];
Artist, BANKS;",4/21/2025,,FALSE,VFX,A number of invisible effects and comp work,"beauty, eye reflection cleanup",,FALSE,
A Thousand Cranes,1000 cranes,"Director, Jangho Yun;
Production, Wesleyan University;
",4/18/2025,,FALSE,VFX,"Lit, animated, and comped a swarm of CG origami cranes.","cg animation, cg comp, cleanup",,FALSE,
Deleware Aqueduct,aqueduct,"Studio, Public Opinion[https://www.publicopinion.nyc/];",4/13/2025,,TRUE,MoGraph,Animated a number of 2D and 3D explanatory assets to illustrate different aspects of the Delaware Aqueduct project. Created in After Effects with a mixed media aesthetic.,explanatory graphcis,,FALSE,https://www.youtube.com/watch?v=xAQcbzBlaGU&ab_channel=PublicOpinion
EAGZ,eagz,"Director, Romy Beckman;
Production, Wesleyan University;
",4/11/2025,,FALSE,VFX,Invisible VFX involving tracking the title logo of the film throughout.,"tracking, cleanup, compositing",,FALSE,
Swim Chicken,swim chicken,"Director, Amelie Boose;
Production, Wesleyan University;
",4/9/2025,,TRUE,VFX,A number of invisible effects and comp work,"keying, reflection cleanup, ",,FALSE,
Music Video Final,,"Director, Greg Joblove;
Production, Wesleyan University;
",1/9/2025,,FALSE,VFX,Completed a music video top to bottom as a final assignment for a Music Video class at Wesleyan.,"cg animation, cg comp, vhs emulation",,FALSE,
Babygirl,babygirl,"Studio, Phosphene FX[https://www.phosphenefx.com/];
Client, A24;
Director, Halina Reijn;",12/25/2024,BabyGirl_DIGI_Teaser_Fin7.jpg,TRUE,VFX,"Working at Phosphene, I completed a number of invisible VFX shots for Babygirl. Reflection paint outs, beauty work, set augmentation, grip equipment removal, etc.","reflection removal, cleanup",v,FALSE,https://a24films.com/films/babygirl
Empire State Building,empire state,"Studio, Public Opinion[https://www.publicopinion.nyc/];
Client, Empire State Building;",12/11/2024,,TRUE,MoGraph,Animated a number of 2D explanatory assets to depict the pump system in the Empire State Building. Created in After Effects with a mixed media aesthetic.,"explainer graphics, 2D animation",,FALSE,https://youtu.be/UW8Efc0vj1w?si=MUA6OtTRWwqtxFUL
Popcaan,popcaan,"Artist, Popcaan;
Director, Eóin MacManus;",11/20/2024,,FALSE,VFX,Worked on some abstract car green-screen shots.,"keying, comp",,FALSE,
Wires and Trees,w & t,"Artist, Brooks Olson;
Director, Greg Joblove;
Production, Wesleyan University;
",11/2/2024,,TRUE,VFX,"Wrote, directed, shot, and completed VFX work to create a music video for Brooks Olson as a midterm for a music video class","cg animation, cg comp",,FALSE,
ShakeShack Worth It,worth it,"Studio, Public Opinion[https://www.publicopinion.nyc/];
Client, Shake Shack;",10/16/2024,,TRUE,MoGraph,,mixed media,,FALSE,https://www.youtube.com/watch?v=DclGZRRxUWI&ab_channel=ShakeShack
